Camera_ID,Date,Time,Count
VS,2025-06-12,11:57:00 PM,1
VS,2025-06-13,3:56:00 AM,1
VS,2025-06-13,4:37:00 AM,1
OR,2025-06-13,10:46:00 PM,2
OR,2025-06-13,10:49:00 PM,3
OR,2025-06-13,10:51:00 PM,3
OR,2025-06-13,10:55:00 PM,3
OR,2025-06-14,4:28:00 AM,1
DPK,2025-06-14,11:03:00 PM,1
ZG,2025-06-14,11:04:00 PM,4
OR,2025-06-15,1:30:00 AM,2
OR,2025-06-15,1:32:00 AM,2
ZG,2025-06-15,11:29:00 PM,2
ZG,2025-06-16,1:12:00 AM,1
VS,2025-06-16,2:54:00 AM,1
DWVS,2025-06-16,2:55:00 AM,1
DWVS,2025-06-16,2:56:00 AM,1
DPK,2025-06-16,3:58:00 AM,1
OR,2025-06-16,10:37:00 PM,3
OR,2025-06-16,10:38:00 PM,2
VS,2025-06-16,11:55:00 PM,1
DWVS,2025-06-17,3:33:00 AM,1
KK,2025-06-17,4:12:00 AM,1
OR,2025-06-18,1:27:00 AM,2
DWVS,2025-06-18,3:36:00 AM,1
KK,2025-06-18,3:56:00 AM,1
DWVS,2025-06-18,7:40:00 AM,1
OR,2025-06-18,9:20:00 AM,1
OR,2025-06-18,11:08:00 PM,3
BW,2025-06-19,2:38:00 AM,3
VK,2025-06-19,3:11:00 AM,1
ZG,2025-06-20,1:11:00 AM,1
ZG,2025-06-20,4:35:00 AM,1
ZG,2025-06-20,5:31:00 AM,1
DWVS,2025-06-21,12:35:00 AM,1
HW,2025-06-21,12:35:00 AM,1
ZG,2025-06-21,2:23:00 AM,1
OR,2025-06-21,5:35:00 AM,2
ZG,2025-06-21,8:57:00 AM,1
ZG,2025-06-22,4:35:00 AM,1
DD,2025-06-24,2:56:00 AM,4
DWVS,2025-06-24,4:20:00 AM,1
DWVS,2025-06-25,10:36:00 PM,1
DWVS,2025-06-26,3:06:00 AM,1
DWVS,2025-07-01,12:26:00 AM,1
DWVS,2025-07-01,12:27:00 AM,1
DWVS,2025-07-01,2:19:00 AM,1
DWVS,2025-07-01,2:22:00 AM,1
DWVS,2025-07-01,10:58:00 PM,2
DWVS,2025-07-01,11:25:00 PM,2
DWVS,2025-07-01,11:30:00 PM,1
DWVS,2025-07-01,11:31:00 PM,2
DWVS,2025-07-02,4:07:00 AM,2
DWVS,2025-07-02,4:08:00 AM,2
DWVS,2025-07-02,11:03:00 PM,1
DWVS,2025-07-02,11:07:00 PM,2
OZ,2025-07-03,4:51:00 AM,1
DWVS,2025-07-03,6:32:00 AM,2
DWVS,2025-07-03,6:35:00 AM,4
DWVS,2025-07-03,6:49:00 AM,1
DWVS,2025-07-03,6:50:00 AM,3
DWVS,2025-07-03,7:01:00 AM,3
OR,2025-07-05,12:33:00 AM,2
OR,2025-07-05,12:35:00 AM,2
OR,2025-07-05,4:12:00 AM,1
OR,2025-07-05,4:13:00 AM,1
OR,2025-07-05,11:56:00 PM,2
KZ,2025-07-07,1:45:00 AM,1
KZ,2025-07-07,1:46:00 AM,1
KZ,2025-07-07,1:46:00 AM,3
OR,2025-03-02,7:19:00 PM,1
OR,2025-03-10,6:25:00 PM,2
OB,2025-03-23,9:56:00 PM,3
OB,2025-03-29,4:38:00 AM,3
OB,2025-03-30,8:06:00 PM,2
OR,2025-03-30,6:58:00 AM,4
OR,2025-03-30,6:59:00 AM,3
OR,2025-03-31,1:36:00 AM,3
OR,2025-03-31,1:37:00 AM,4
OR,2025-03-31,1:41:00 AM,3
